recording,session,channel,n_good,r,z,nrmse,lambda,pi,mu,d
sub-001_ses-t1,ses-t1,PO4,62,0.9781415523613244,2.252662803278713,0.20820340323148528,2.8668273576378427,0.0,3,18.99137042434568
sub-001_ses-t1,ses-t1,O2,62,0.9828006074781775,2.373695753911638,0.2605729904748329,2.1499668614809906,0.08694342351027294,2,17.988943887277408
sub-002_ses-t1,ses-t1,Fp1,60,0.9202143357419053,1.590424124780622,0.39845937020681976,2.4033279073973595,0.03581117742810635,3,17.988943887277408
sub-002_ses-t1,ses-t1,AF7,60,0.9832520926739062,2.3871099663226167,0.18396645125349717,2.6029544769369912,0.03629785951160688,4,17.9889438872964
sub-002_ses-t1,ses-t1,AF3,60,0.7621679689793444,1.0013677290237735,0.6574873194027402,3.322380320752442,0.0,4,18.99137042434568
sub-002_ses-t1,ses-t1,F1,60,0.954642410838622,1.8816925183124877,0.3027286648879117,3.158605717042576,0.0,3,16.7762971676845
sub-002_ses-t1,ses-t1,F3,60,0.8476687168179408,1.2478111632641853,0.5309127483833834,3.4400482509047046,0.0,4,17.094795802718945
sub-002_ses-t1,ses-t1,F5,60,0.8632913669053359,1.3061239298381495,0.5212881351930256,3.4545673801627976,0.0,5,17.594959612644345
sub-002_ses-t1,ses-t1,F7,60,0.8881097857496646,1.4129066667994012,0.4674040901669275,2.500361707258259,0.03635157945502773,3,17.705676358858174
sub-002_ses-t1,ses-t1,FT7,60,0.8716930361698103,1.340086559664169,0.664140211527009,1.9043829505034062,0.16356182552601434,2,17.9889438872964
sub-002_ses-t1,ses-t1,FC5,60,0.9459651907857639,1.7919424605233765,0.33061637248998554,2.9740001206490922,0.0,4,19.399051296422527
sub-002_ses-t1,ses-t1,FC3,60,0.9278363423415876,1.6426085121246567,0.37301756644122763,3.0083805619196915,0.0,4,21.041789990512164
sub-002_ses-t1,ses-t1,FC1,60,0.9464473446447251,1.7965478666269667,0.3228792503193795,2.803616636528029,0.0,4,21.041789990512164
sub-002_ses-t1,ses-t1,C1,60,0.9374253882547309,1.716377809264834,0.34820151683643635,2.5806509945750453,0.0,4,22.021524975074975
sub-002_ses-t1,ses-t1,C3,60,0.9103019275429904,1.5292836528675715,0.41556352986076084,2.7384698860553445,0.0,4,21.08260936546092
sub-002_ses-t1,ses-t1,C5,60,0.8794376836440931,1.3732805696006174,0.5218253914422132,2.6484205449722693,0.0,3,20.00606534146191
sub-002_ses-t1,ses-t1,TP7,60,0.8097666188584042,1.126350767950427,0.6207412117779157,1.9040327928145155,0.16348182530592562,2,17.9889438872964
sub-002_ses-t1,ses-t1,CP5,60,0.7678342684704481,1.0150295112885253,0.6453822866080083,2.973723859458808,0.0,4,19.399051296422527
sub-002_ses-t1,ses-t1,CP3,60,0.9193554460064957,1.5848467137965125,0.39862274733024194,3.0091687778984197,0.0,4,21.041789990512164
sub-002_ses-t1,ses-t1,CP1,60,0.9509198390506043,1.8413006767526365,0.3105157180578145,2.8033616482920656,0.0,4,21.041789990512164
sub-002_ses-t1,ses-t1,P1,60,0.976620795670442,2.218648536724815,0.23168920773467308,3.1583644916174163,0.0,3,16.7762971676845
sub-002_ses-t1,ses-t1,P3,60,0.93967527350611,1.7352668878160813,0.3578468912251206,3.4408660515047345,0.0,4,17.094795802718945
sub-002_ses-t1,ses-t1,P5,60,0.9395480213103876,1.7341804685086581,0.36513099293845197,3.454512570085006,0.0,5,17.594959612644345
sub-002_ses-t1,ses-t1,P7,60,0.8752655301522251,1.355159153887602,0.5076841875901927,2.501808100289296,0.036101735776277726,3,17.705676358858174
sub-002_ses-t1,ses-t1,PO7,60,0.9541895665212256,1.8766094860517786,0.30221939097399625,2.652394162344711,0.036063201061391874,4,17.9889438872964
sub-002_ses-t1,ses-t1,PO3,60,0.9440576111112652,1.774105114291177,0.34360028363985246,3.3221840535165432,0.0,4,18.99137042434568
sub-002_ses-t1,ses-t1,O1,60,0.963437483276108,1.9917142258410216,0.2813413197575035,2.677077052936211,0.0002411672494875196,3,17.988943887277408
sub-002_ses-t1,ses-t1,Iz,60,0.8960556411687552,1.4518376421292976,0.7543466528035752,1.0624020258048956,0.47919932473170146,1,22.999999999978343
sub-002_ses-t1,ses-t1,Oz,60,0.9610817249001663,1.9598937816137552,0.29786407269686654,2.3943704418057985,0.0,4,17.988943887277408
sub-002_ses-t1,ses-t1,POz,60,0.9574364515603259,1.9141963733530936,0.30544050696910463,2.7490205533120364,0.00012054728467241275,2,22.999999999998153
sub-002_ses-t1,ses-t1,Pz,60,0.9465444263108478,1.7974800399412447,0.3229524176988506,2.938332630056061,0.0,4,16.7762971676845
sub-002_ses-t1,ses-t1,CPz,60,0.958966349435708,1.9328898824151544,0.29363763041399304,2.7346840328027016,0.0,4,22.021524975074975
sub-002_ses-t1,ses-t1,Fpz,60,0.9367805093698597,1.7110848463011563,0.3610739258391298,2.2250693355842275,0.03617508742312794,3,17.988943887277408
sub-002_ses-t1,ses-t1,Fp2,60,0.9453574205517176,1.7861937903718539,0.3264667657786078,2.402555910543131,0.036289107239737176,3,17.988943887277408
sub-002_ses-t1,ses-t1,AF8,60,0.9213457699668672,1.597859865144107,0.3889377578088921,2.6033142512805063,0.03669780054233203,4,17.9889438872964
sub-002_ses-t1,ses-t1,AF4,60,0.9117501814462299,1.5378013935360169,0.4179437042064423,3.3205522397057936,0.0,4,18.99137042434568
sub-002_ses-t1,ses-t1,AFz,60,0.9352341703342059,1.6986027360492455,0.3635877309702979,3.124826713278283,0.0,2,22.999999999998153
sub-002_ses-t1,ses-t1,Fz,60,0.9495751004338906,1.8274408192555092,0.33075248129458923,3.089412757747498,0.0,4,16.7762971676845
sub-002_ses-t1,ses-t1,F2,60,0.7880711806481318,1.0663211523142,0.6192208559308616,3.158360952094004,0.0,3,16.7762971676845
sub-002_ses-t1,ses-t1,F4,60,0.8944323498953296,1.44366127025101,0.4556770719226986,3.440653445053951,0.0,4,17.094795802718945
sub-002_ses-t1,ses-t1,F6,60,0.7533504505501799,0.9806576393436627,0.6582653745997729,3.4539045553145336,0.0,5,17.594959612644345
