# OpenNeuro ds003775 v1.2.1 cleaned epochs: size in bytes and MD5 from the git-annex keys of mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
path	size	md5
derivatives/cleaned_epochs/sub-052/ses-t1/eeg/sub-052_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	c7076b5d1f221db7e9726bee299932c8
derivatives/cleaned_epochs/sub-053/ses-t1/eeg/sub-053_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474624	20e9a5235b39590b20d912719773bf2d
derivatives/cleaned_epochs/sub-054/ses-t1/eeg/sub-054_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472088	a02bf1015ccfdd68c733ed3c1522a1bb
derivatives/cleaned_epochs/sub-055/ses-t1/eeg/sub-055_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	71dfceae8ce1746a9ace178545a7454c
derivatives/cleaned_epochs/sub-056/ses-t1/eeg/sub-056_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472224	290ccfc179d67f20165f0992cd41ac97
derivatives/cleaned_epochs/sub-057/ses-t1/eeg/sub-057_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474672	ac121ad33310ce6a812905a896b17383
derivatives/cleaned_epochs/sub-058/ses-t1/eeg/sub-058_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	520979a69f387611df27e313727f5216
derivatives/cleaned_epochs/sub-058/ses-t2/eeg/sub-058_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472168	cde70856aa1d91eb5105a50bfb00b858
derivatives/cleaned_epochs/sub-059/ses-t1/eeg/sub-059_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472168	688aac084295e5de88e99ed9e413c2b5
derivatives/cleaned_epochs/sub-060/ses-t1/eeg/sub-060_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473520	adac3486a45c23ff14f24fde738cdc30
derivatives/cleaned_epochs/sub-060/ses-t2/eeg/sub-060_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472000	ae69e19f6271cf834412c766f7d7b919
derivatives/cleaned_epochs/sub-061/ses-t1/eeg/sub-061_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474600	5224c5b7239d6fd104fe82ac0d654550
derivatives/cleaned_epochs/sub-062/ses-t1/eeg/sub-062_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474616	3453a91e00642c0ffcc267bc30410785
derivatives/cleaned_epochs/sub-063/ses-t1/eeg/sub-063_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	4f57c3096776b569394d21df705e4c27
derivatives/cleaned_epochs/sub-064/ses-t1/eeg/sub-064_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473456	2efaaea6e5f9220e0ae6d9042b94e1a3
