# OpenNeuro ds003775 v1.2.1, doi:10.18112/openneuro.ds003775.v1.2.1, CC0; git mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
# channel order: Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
recording	subject	session	n_bad	bad_channels
sub-074_ses-t1	sub-074	ses-t1	10	F7,T7,Iz,Oz,POz,T8,P2,P4,PO4,O2
sub-074_ses-t2	sub-074	ses-t2	2	P7,POz
sub-075_ses-t1	sub-075	ses-t1	5	F5,F7,FT7,P9,F8
sub-075_ses-t2	sub-075	ses-t2	11	F1,F3,F7,FT7,CP5,PO7,AFz,FC2,C4,P8,P10
sub-076_ses-t1	sub-076	ses-t1	3	P1,AFz,P2
sub-076_ses-t2	sub-076	ses-t2	0	
sub-077_ses-t1	sub-077	ses-t1	7	TP7,CP1,P9,PO7,F4,FC2,O2
sub-077_ses-t2	sub-077	ses-t2	2	Fp1,AF7
sub-078_ses-t1	sub-078	ses-t1	1	P2
sub-079_ses-t1	sub-079	ses-t1	1	P9
sub-080_ses-t1	sub-080	ses-t1	0	
sub-081_ses-t1	sub-081	ses-t1	1	F6
sub-082_ses-t1	sub-082	ses-t1	11	T7,CP3,P3,P9,AF4,F4,FC4,FC2,FCz,C4,P10
sub-082_ses-t2	sub-082	ses-t2	1	P10
sub-083_ses-t1	sub-083	ses-t1	16	FT7,FC3,T7,TP7,P7,P9,PO7,Iz,Oz,C6,CP6,P6,P8,P10,PO8,O2
sub-084_ses-t1	sub-084	ses-t1	3	PO3,Iz,AF8
sub-084_ses-t2	sub-084	ses-t2	4	P9,Iz,AF4,F4
sub-085_ses-t1	sub-085	ses-t1	6	FT7,TP7,P1,P7,P9,Iz
sub-085_ses-t2	sub-085	ses-t2	2	CP6,P2
sub-086_ses-t1	sub-086	ses-t1	3	TP7,FC4,TP8
sub-087_ses-t1	sub-087	ses-t1	1	FC5
sub-087_ses-t2	sub-087	ses-t2	36	AF7,AF3,F5,F7,FT7,FC5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,F4,F6,F8,FT8,C2,CP2,P2,P4,P6,P8,P10,PO4,O2
sub-088_ses-t1	sub-088	ses-t1	3	P9,F4,PO4
sub-089_ses-t1	sub-089	ses-t1	1	T8
sub-090_ses-t1	sub-090	ses-t1	31	Fp1,F3,F5,FT7,T7,TP7,CP3,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,Fpz,Fp2,AF8,AF4,F8,FCz,CP6,P2,P10,PO8,PO4,O2
sub-091_ses-t1	sub-091	ses-t1	12	AF7,F1,CP1,P1,P7,PO3,Iz,POz,FCz,CP2,PO4,O2
sub-091_ses-t2	sub-091	ses-t2	1	F4
sub-092_ses-t1	sub-092	ses-t1	1	Iz
sub-093_ses-t1	sub-093	ses-t1	0	
sub-094_ses-t1	sub-094	ses-t1	4	CP3,P9,FC2,P10
sub-094_ses-t2	sub-094	ses-t2	3	P9,PO3,P10
sub-095_ses-t1	sub-095	ses-t1	4	TP7,CP3,F6,P10
sub-096_ses-t1	sub-096	ses-t1	8	Fp1,AF7,F7,C5,Fpz,Fp2,T8,P2
