x y seen unseen
23.3200 -0.1846 -0.1846 nan
23.3600 -0.1793 -0.1793 nan
23.4000 -0.1740 -0.1740 nan
23.4400 -0.1688 -0.1688 nan
23.4800 -0.1637 -0.1637 nan
23.5200 -0.1587 -0.1587 nan
23.5600 -0.1537 -0.1537 nan
23.6000 -0.1489 -0.1489 nan
23.6400 -0.1440 -0.1440 nan
23.6800 -0.1393 -0.1393 nan
23.7200 -0.1346 -0.1346 nan
23.7600 -0.1301 -0.1301 nan
23.8000 -0.1255 -0.1255 nan
23.8400 -0.1211 -0.1211 nan
23.8800 -0.1168 -0.1168 nan
23.9200 -0.1125 -0.1125 nan
23.9600 -0.1083 -0.1083 nan
24.0000 -0.1041 -0.1041 nan
24.0400 -0.1001 -0.1001 nan
24.0800 -0.0961 -0.0961 nan
24.1200 -0.0922 -0.0922 nan
24.1600 -0.0884 -0.0884 nan
24.2000 -0.0846 -0.0846 nan
24.2400 -0.0810 -0.0810 nan
24.2800 -0.0774 -0.0774 nan
24.3200 -0.0739 -0.0739 nan
24.3600 -0.0705 -0.0705 nan
24.4000 -0.0671 -0.0671 nan
24.4400 -0.0638 -0.0638 nan
24.4800 -0.0607 -0.0607 nan
24.5200 -0.0575 -0.0575 nan
24.5600 -0.0545 -0.0545 nan
24.6000 -0.0516 -0.0516 nan
24.6400 -0.0487 -0.0487 nan
24.6800 -0.0459 -0.0459 nan
24.7200 -0.0432 -0.0432 nan
24.7600 -0.0406 -0.0406 nan
24.8000 -0.0380 -0.0380 nan
24.8400 -0.0356 -0.0356 nan
24.8800 -0.0332 -0.0332 nan
24.9200 -0.0309 -0.0309 nan
24.9600 -0.0287 -0.0287 nan
25.0000 -0.0265 -0.0265 nan
25.0400 -0.0245 -0.0245 nan
25.0800 -0.0225 -0.0225 nan
25.1200 -0.0206 -0.0206 nan
25.1600 -0.0188 -0.0188 nan
25.2000 -0.0171 -0.0171 nan
25.2400 -0.0154 -0.0154 nan
25.2800 -0.0139 -0.0139 nan
25.3200 -0.0124 -0.0124 nan
25.3600 -0.0110 -0.0110 nan
25.4000 -0.0097 -0.0097 nan
25.4400 -0.0085 -0.0085 nan
25.4800 -0.0073 -0.0073 nan
25.5200 -0.0063 -0.0063 nan
25.5600 -0.0053 -0.0053 nan
25.6000 -0.0044 -0.0044 nan
25.6400 -0.0036 -0.0036 nan
25.6800 -0.0029 -0.0029 nan
25.7200 -0.0022 -0.0022 nan
25.7600 -0.0017 -0.0017 nan
25.8000 -0.0012 -0.0012 nan
25.8400 -0.0008 -0.0008 nan
25.8800 -0.0005 -0.0005 nan
25.9200 -0.0003 -0.0003 nan
25.9600 -0.0002 -0.0002 nan
26.0000 -0.0001 -0.0001 nan
26.0400 -0.0002 -0.0002 nan
26.0800 -0.0003 -0.0003 nan
26.1200 -0.0005 -0.0005 nan
26.1600 -0.0008 -0.0008 nan
26.2000 -0.0012 -0.0012 nan
26.2400 -0.0016 -0.0016 nan
26.2800 -0.0022 -0.0022 nan
26.3200 -0.0028 -0.0028 nan
26.3600 -0.0035 -0.0035 nan
26.4000 -0.0043 -0.0043 nan
26.4400 -0.0052 -0.0052 nan
26.4800 -0.0061 -0.0061 nan
26.5200 -0.0072 -0.0072 nan
26.5600 -0.0083 -0.0083 nan
26.6000 -0.0095 -0.0095 nan
26.6400 -0.0108 -0.0108 nan
26.6800 -0.0122 -0.0122 nan
26.7200 -0.0137 -0.0137 nan
26.7600 -0.0152 -0.0152 nan
26.8000 -0.0168 -0.0168 nan
26.8400 -0.0186 -0.0186 nan
26.8800 -0.0203 -0.0203 nan
26.9200 -0.0222 -0.0222 nan
26.9600 -0.0242 -0.0242 nan
27.0000 -0.0262 -0.0262 nan
27.0400 -0.0283 -0.0283 nan
27.0800 -0.0305 -0.0305 nan
27.1200 -0.0328 -0.0328 nan
27.1600 -0.0352 -0.0352 nan
27.2000 -0.0376 -0.0376 nan
27.2400 -0.0402 -0.0402 nan
27.2800 -0.0428 -0.0428 nan
27.3200 -0.0455 -0.0455 nan
27.3600 -0.0482 -0.0482 nan
27.4000 -0.0511 -0.0511 nan
27.4400 -0.0540 -0.0540 nan
27.4800 -0.0570 -0.0570 nan
27.5200 -0.0601 -0.0601 nan
27.5600 -0.0632 -0.0632 nan
27.6000 -0.0665 -0.0665 nan
27.6400 -0.0698 -0.0698 nan
27.6800 -0.0732 -0.0732 nan
27.7200 -0.0767 -0.0767 nan
27.7600 -0.0802 -0.0802 nan
27.8000 -0.0839 -0.0839 nan
27.8400 -0.0876 -0.0876 nan
27.8800 -0.0913 -0.0913 nan
27.9200 -0.0952 -0.0952 nan
27.9600 -0.0991 -0.0991 nan
